,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
0,Los Angeles Lakers,90,2014-10-29 02:30:00,Houston Rockets,108
1,New Orleans Pelicans,101,2014-10-29 00:00:00,Orlando Magic,84
2,San Antonio Spurs,101,2014-10-29 00:00:00,Dallas Mavericks,100
3,Boston Celtics,121,2014-10-29 23:30:00,Brooklyn Nets,105
4,Charlotte Hornets,108,2014-10-29 23:00:00,Milwaukee Bucks,106
5,Denver Nuggets,89,2014-10-30 01:00:00,Detroit Pistons,79
6,Indiana Pacers,103,2014-10-29 23:00:00,Philadelphia 76ers,91
7,Memphis Grizzlies,105,2014-10-30 00:00:00,Minnesota Timberwolves,101
8,Miami Heat,107,2014-10-29 23:30:00,Washington Wizards,95
9,New York Knicks,80,2014-10-30 00:00:00,Chicago Bulls,104
10,Phoenix Suns,119,2014-10-30 02:00:00,Los Angeles Lakers,99
11,Portland Trail Blazers,106,2014-10-30 02:30:00,Oklahoma City Thunder,89
12,Sacramento Kings,77,2014-10-30 02:00:00,Golden State Warriors,95
13,Toronto Raptors,109,2014-10-29 23:30:00,Atlanta Hawks,102
14,Utah Jazz,93,2014-10-30 01:00:00,Houston Rockets,104
15,Cleveland Cavaliers,90,2014-10-31 00:00:00,New York Knicks,95
16,Dallas Mavericks,120,2014-10-31 00:30:00,Utah Jazz,102
17,Los Angeles Clippers,93,2014-10-31 02:30:00,Oklahoma City Thunder,90
18,Minnesota Timberwolves,97,2014-10-31 00:00:00,Detroit Pistons,91
19,Orlando Magic,98,2014-10-30 23:00:00,Washington Wizards,105
20,Chicago Bulls,108,2014-11-01 00:00:00,Cleveland Cavaliers,114
21,Indiana Pacers,89,2014-10-31 23:00:00,Memphis Grizzlies,97
22,Los Angeles Lakers,111,2014-11-01 02:30:00,Los Angeles Clippers,118
23,Milwaukee Bucks,93,2014-11-01 00:30:00,Philadelphia 76ers,81
24,Phoenix Suns,94,2014-11-01 02:00:00,San Antonio Spurs,89
25,Sacramento Kings,103,2014-11-01 02:00:00,Portland Trail Blazers,94
26,Atlanta Hawks,102,2014-11-01 23:30:00,Indiana Pacers,92
27,Charlotte Hornets,69,2014-11-01 23:00:00,Memphis Grizzlies,71
28,Detroit Pistons,90,2014-11-01 23:30:00,Brooklyn Nets,102
29,Golden State Warriors,127,2014-11-02 02:30:00,Los Angeles Lakers,104
30,Houston Rockets,104,2014-11-02 00:00:00,Boston Celtics,90
31,Minnesota Timberwolves,105,2014-11-02 00:00:00,Chicago Bulls,106
32,New Orleans Pelicans,104,2014-11-01 23:00:00,Dallas Mavericks,109
33,Oklahoma City Thunder,102,2014-11-02 00:00:00,Denver Nuggets,91
34,Orlando Magic,95,2014-11-01 23:00:00,Toronto Raptors,108
35,Philadelphia 76ers,96,2014-11-01 23:00:00,Miami Heat,114
36,Utah Jazz,118,2014-11-02 01:00:00,Phoenix Suns,91
37,Washington Wizards,108,2014-11-01 23:00:00,Milwaukee Bucks,97
38,Los Angeles Clippers,92,2014-11-02 20:30:00,Sacramento Kings,98
39,Miami Heat,107,2014-11-02 23:00:00,Toronto Raptors,102
40,New York Knicks,96,2014-11-03 00:30:00,Charlotte Hornets,93
41,Portland Trail Blazers,90,2014-11-03 02:00:00,Golden State Warriors,95
42,Brooklyn Nets,116,2014-11-04 00:30:00,Oklahoma City Thunder,85
43,Dallas Mavericks,118,2014-11-04 01:30:00,Boston Celtics,113
44,Denver Nuggets,105,2014-11-04 02:00:00,Sacramento Kings,110
45,Los Angeles Clippers,107,2014-11-04 03:30:00,Utah Jazz,101
46,Memphis Grizzlies,93,2014-11-04 01:00:00,New Orleans Pelicans,81
47,Philadelphia 76ers,93,2014-11-04 00:00:00,Houston Rockets,104
48,Chicago Bulls,98,2014-11-05 01:00:00,Orlando Magic,90
49,Indiana Pacers,81,2014-11-05 00:00:00,Milwaukee Bucks,87
50,Los Angeles Lakers,106,2014-11-05 03:30:00,Phoenix Suns,112
51,Miami Heat,91,2014-11-05 00:30:00,Houston Rockets,108
52,New Orleans Pelicans,100,2014-11-05 01:00:00,Charlotte Hornets,91
53,New York Knicks,83,2014-11-05 00:30:00,Washington Wizards,98
54,Portland Trail Blazers,101,2014-11-05 03:00:00,Cleveland Cavaliers,82
55,Toronto Raptors,100,2014-11-05 00:30:00,Oklahoma City Thunder,88
56,Boston Celtics,107,2014-11-06 00:30:00,Toronto Raptors,110
57,Brooklyn Nets,91,2014-11-06 00:30:00,Minnesota Timberwolves,98
58,Charlotte Hornets,96,2014-11-06 00:00:00,Miami Heat,89
59,Detroit Pistons,98,2014-11-06 00:30:00,New York Knicks,95
60,Golden State Warriors,121,2014-11-06 03:30:00,Los Angeles Clippers,104
61,Milwaukee Bucks,86,2014-11-06 01:00:00,Chicago Bulls,95
62,Philadelphia 76ers,89,2014-11-06 00:00:00,Orlando Magic,91
63,Phoenix Suns,91,2014-11-06 02:00:00,Memphis Grizzlies,102
64,Sacramento Kings,131,2014-11-06 03:00:00,Denver Nuggets,109
65,San Antonio Spurs,94,2014-11-06 01:30:00,Atlanta Hawks,92
66,Utah Jazz,102,2014-11-06 02:00:00,Cleveland Cavaliers,100
67,Washington Wizards,96,2014-11-06 01:00:00,Indiana Pacers,94
68,Houston Rockets,98,2014-11-07 01:00:00,San Antonio Spurs,81
69,Portland Trail Blazers,108,2014-11-07 03:30:00,Dallas Mavericks,87
70,Boston Celtics,101,2014-11-08 00:30:00,Indiana Pacers,98
71,Brooklyn Nets,110,2014-11-08 00:30:00,New York Knicks,99
72,Charlotte Hornets,122,2014-11-08 00:00:00,Atlanta Hawks,119
73,Denver Nuggets,101,2014-11-08 03:30:00,Cleveland Cavaliers,110
74,Detroit Pistons,98,2014-11-08 00:30:00,Milwaukee Bucks,95
75,Oklahoma City Thunder,89,2014-11-08 01:00:00,Memphis Grizzlies,91
76,Orlando Magic,112,2014-11-08 00:00:00,Minnesota Timberwolves,103
77,Philadelphia 76ers,115,2014-11-08 00:00:00,Chicago Bulls,118
78,Phoenix Suns,112,2014-11-08 02:00:00,Sacramento Kings,114
