,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,7,0,2015-10-27,3,26,14,Stephen,7,7,True,Curry,3,NOP,1,40,2137.0,2,GSW,12,5,6,2
1,5,0,2015-10-27,10,22,12,LeBron,3,0,False,James,0,CHI,3,25,2164.0,1,CLE,5,1,10,1
2,4,0,2015-10-27,2,14,8,Dennis,2,2,True,Schroder,1,DET,1,20,1522.0,2,ATL,5,2,3,1
3,3,2,2015-10-27,11,16,6,Andre,10,6,False,Drummond,8,ATL,4,18,2229.0,1,DET,0,0,19,2
4,7,1,2015-10-27,4,15,7,Mo,3,2,False,Williams,0,CHI,2,19,2229.0,1,CLE,7,3,4,1
5,4,3,2015-10-27,3,11,6,Al,3,2,True,Horford,1,DET,1,15,1814.0,2,ATL,3,1,4,1
6,5,2,2015-10-27,4,6,6,Andrew,0,0,True,Bogut,1,NOP,2,12,1122.0,0,GSW,0,0,5,0
7,9,0,2015-10-27,1,13,7,Ish,4,2,False,Smith,1,GSW,5,17,2281.0,3,NOP,2,1,2,2
8,5,0,2015-10-27,7,10,4,Reggie,5,5,False,Jackson,1,ATL,0,15,1927.0,2,DET,4,2,8,2
9,2,1,2015-10-27,4,14,6,Jimmy,5,5,True,Butler,1,CLE,1,17,2198.0,2,CHI,2,0,5,0
10,1,0,2015-10-27,3,14,7,Kentavious,3,3,False,Caldwell-Pope,1,ATL,1,21,2223.0,1,DET,7,4,4,2
11,4,2,2015-10-27,4,17,6,Kevin,3,3,False,Love,4,CHI,0,18,2089.0,0,CLE,7,3,8,2
12,4,0,2015-10-27,5,19,6,Marcus,6,5,False,Morris,5,ATL,1,18,2225.0,0,DET,4,1,10,0
13,1,0,2015-10-27,7,11,6,Nikola,4,4,True,Mirotic,2,CLE,5,19,1514.0,1,CHI,4,3,9,4
14,3,0,2015-10-27,7,15,7,Paul,4,3,True,Millsap,1,DET,4,19,2160.0,0,ATL,6,2,8,2
