,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
0,23,40,8,68,341,134,Alex,49,44,68,6,Abrines,1055,18,114,406,SG,37,OKC,247,94,33,94,40
1,23,86,78,332,655,374,Steven,257,157,80,80,Adams,2389,281,195,905,C,89,OKC,1,0,146,654,374
2,31,78,6,116,420,185,Arron,93,83,61,45,Afflalo,1580,9,104,515,SG,21,SAC,151,62,42,269,123
3,28,12,22,131,178,89,Alexis,40,29,39,15,Ajinca,584,46,77,207,C,20,NOP,4,0,31,174,89
4,28,25,23,107,86,45,Cole,22,15,62,0,Aldrich,531,51,85,105,C,25,MIN,0,0,17,86,45
5,31,139,88,351,1049,500,LaMarcus,271,220,72,72,Aldridge,2335,172,158,1243,PF,46,SAS,56,23,98,993,477
6,27,57,24,114,168,77,Lavoy,33,23,61,5,Allen,871,105,78,177,PF,18,IND,1,0,29,167,77
7,35,98,29,225,595,274,Tony,130,80,71,66,Allen,1914,166,178,643,SG,115,MEM,54,15,100,541,259
8,26,99,44,374,466,183,Al-Farouq,136,96,61,25,Aminu,1773,77,102,532,SF,60,POR,212,70,94,254,113
9,38,5,7,22,22,9,Chris,14,10,12,0,Andersen,114,9,20,28,C,5,CLE,3,0,5,19,9
10,34,11,0,21,80,30,Alan,16,12,30,0,Anderson,308,3,35,86,SF,3,LAC,44,14,7,36,16
11,23,91,26,175,209,93,Kyle,57,45,72,14,Anderson,1020,33,63,246,SG,51,SAS,40,15,39,169,78
12,28,68,14,218,773,323,Ryan,150,129,72,72,Anderson,2116,112,142,979,PF,31,HOU,506,204,55,267,119
13,22,434,151,558,1259,656,Giannis,612,471,80,80,Antetokounmpo,2845,142,246,1832,SF,131,MIL,180,49,234,1079,607
