,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
0,Indiana Pacers,97,2013-10-29 23:00:00,Orlando Magic,87
1,Los Angeles Lakers,116,2013-10-30 02:30:00,Los Angeles Clippers,103
2,Miami Heat,107,2013-10-30 00:00:00,Chicago Bulls,95
3,Cleveland Cavaliers,98,2013-10-30 23:00:00,Brooklyn Nets,94
4,Dallas Mavericks,118,2013-10-31 00:30:00,Atlanta Hawks,109
5,Detroit Pistons,113,2013-10-30 23:30:00,Washington Wizards,102
6,Golden State Warriors,125,2013-10-31 02:30:00,Los Angeles Lakers,94
7,Houston Rockets,96,2013-10-31 00:00:00,Charlotte Bobcats,83
8,Minnesota Timberwolves,120,2013-10-31 00:00:00,Orlando Magic,115
9,New Orleans Pelicans,90,2013-10-31 00:00:00,Indiana Pacers,95
10,New York Knicks,90,2013-10-30 23:30:00,Milwaukee Bucks,83
11,Philadelphia 76ers,114,2013-10-30 23:00:00,Miami Heat,110
12,Phoenix Suns,104,2013-10-31 02:00:00,Portland Trail Blazers,91
13,Sacramento Kings,90,2013-10-31 02:00:00,Denver Nuggets,88
14,San Antonio Spurs,101,2013-10-31 00:30:00,Memphis Grizzlies,94
15,Toronto Raptors,93,2013-10-30 23:00:00,Boston Celtics,87
16,Utah Jazz,98,2013-10-31 01:00:00,Oklahoma City Thunder,101
17,Chicago Bulls,82,2013-11-01 00:00:00,New York Knicks,81
18,Los Angeles Clippers,126,2013-11-01 02:30:00,Golden State Warriors,115
19,Atlanta Hawks,102,2013-11-01 23:30:00,Toronto Raptors,95
20,Boston Celtics,98,2013-11-01 23:30:00,Milwaukee Bucks,105
21,Brooklyn Nets,101,2013-11-02 00:00:00,Miami Heat,100
22,Charlotte Bobcats,90,2013-11-01 23:00:00,Cleveland Cavaliers,84
23,Denver Nuggets,98,2013-11-02 01:00:00,Portland Trail Blazers,113
24,Houston Rockets,113,2013-11-02 00:00:00,Dallas Mavericks,105
25,Los Angeles Lakers,85,2013-11-02 02:30:00,San Antonio Spurs,91
26,Memphis Grizzlies,111,2013-11-02 00:00:00,Detroit Pistons,108
27,Minnesota Timberwolves,100,2013-11-02 00:00:00,Oklahoma City Thunder,81
28,Orlando Magic,110,2013-11-01 23:00:00,New Orleans Pelicans,90
29,Phoenix Suns,87,2013-11-02 02:00:00,Utah Jazz,84
30,Sacramento Kings,101,2013-11-02 02:00:00,Los Angeles Clippers,110
31,Washington Wizards,102,2013-11-01 23:00:00,Philadelphia 76ers,109
32,Dallas Mavericks,111,2013-11-03 00:30:00,Memphis Grizzlies,99
33,Golden State Warriors,98,2013-11-03 02:30:00,Sacramento Kings,87
34,Indiana Pacers,89,2013-11-02 23:00:00,Cleveland Cavaliers,74
35,Milwaukee Bucks,90,2013-11-03 00:30:00,Toronto Raptors,97
36,New Orleans Pelicans,105,2013-11-03 00:00:00,Charlotte Bobcats,84
37,Philadelphia 76ers,107,2013-11-02 23:30:00,Chicago Bulls,104
38,Portland Trail Blazers,115,2013-11-03 02:00:00,San Antonio Spurs,105
39,Utah Jazz,93,2013-11-03 01:00:00,Houston Rockets,104
40,Detroit Pistons,87,2013-11-03 23:00:00,Boston Celtics,77
41,Los Angeles Lakers,105,2013-11-04 02:30:00,Atlanta Hawks,103
42,Miami Heat,103,2013-11-03 23:00:00,Washington Wizards,93
43,New York Knicks,100,2013-11-04 00:30:00,Minnesota Timberwolves,109
44,Oklahoma City Thunder,103,2013-11-04 00:00:00,Phoenix Suns,96
45,Orlando Magic,107,2013-11-03 23:00:00,Brooklyn Nets,86
46,Cleveland Cavaliers,93,2013-11-05 00:00:00,Minnesota Timberwolves,92
47,Los Angeles Clippers,137,2013-11-05 03:30:00,Houston Rockets,118
48,Memphis Grizzlies,95,2013-11-05 01:00:00,Boston Celtics,88
49,Philadelphia 76ers,90,2013-11-05 00:00:00,Golden State Warriors,110
50,Brooklyn Nets,104,2013-11-06 00:30:00,Utah Jazz,88
51,Dallas Mavericks,123,2013-11-06 01:30:00,Los Angeles Lakers,104
52,Denver Nuggets,94,2013-11-06 02:00:00,San Antonio Spurs,102
53,Detroit Pistons,91,2013-11-06 00:30:00,Indiana Pacers,99
54,New Orleans Pelicans,98,2013-11-06 01:00:00,Phoenix Suns,104
55,New York Knicks,97,2013-11-06 00:30:00,Charlotte Bobcats,102
56,Portland Trail Blazers,101,2013-11-06 03:00:00,Houston Rockets,116
57,Sacramento Kings,100,2013-11-06 03:00:00,Atlanta Hawks,105
58,Toronto Raptors,95,2013-11-06 00:00:00,Miami Heat,104
59,Boston Celtics,97,2013-11-07 00:30:00,Utah Jazz,87
60,Charlotte Bobcats,92,2013-11-07 00:00:00,Toronto Raptors,90
61,Indiana Pacers,97,2013-11-07 00:00:00,Chicago Bulls,80
62,Memphis Grizzlies,84,2013-11-07 01:00:00,New Orleans Pelicans,99
63,Milwaukee Bucks,109,2013-11-07 01:00:00,Cleveland Cavaliers,104
64,Minnesota Timberwolves,93,2013-11-07 01:00:00,Golden State Warriors,106
65,Oklahoma City Thunder,107,2013-11-07 02:30:00,Dallas Mavericks,93
66,Orlando Magic,98,2013-11-07 00:00:00,Los Angeles Clippers,90
67,Philadelphia 76ers,102,2013-11-07 00:00:00,Washington Wizards,116
68,San Antonio Spurs,99,2013-11-07 01:30:00,Phoenix Suns,96
69,Denver Nuggets,109,2013-11-08 02:00:00,Atlanta Hawks,107
70,Houston Rockets,98,2013-11-08 02:30:00,Los Angeles Lakers,99
71,Miami Heat,102,2013-11-08 00:00:00,Los Angeles Clippers,97
72,Charlotte Bobcats,91,2013-11-09 00:00:00,New York Knicks,101
73,Chicago Bulls,97,2013-11-09 01:00:00,Utah Jazz,73
74,Detroit Pistons,110,2013-11-09 00:30:00,Oklahoma City Thunder,119
75,Indiana Pacers,91,2013-11-09 00:00:00,Toronto Raptors,84
76,Minnesota Timberwolves,116,2013-11-09 01:00:00,Dallas Mavericks,108
77,New Orleans Pelicans,96,2013-11-09 01:00:00,Los Angeles Lakers,85
78,Orlando Magic,89,2013-11-09 00:00:00,Boston Celtics,91
79,Philadelphia 76ers,94,2013-11-09 00:00:00,Cleveland Cavaliers,79
80,Phoenix Suns,114,2013-11-09 02:00:00,Denver Nuggets,103
81,Portland Trail Blazers,104,2013-11-09 03:00:00,Sacramento Kings,91
82,San Antonio Spurs,76,2013-11-09 01:30:00,Golden State Warriors,74
83,Washington Wizards,112,2013-11-09 00:00:00,Brooklyn Nets,108
84,Atlanta Hawks,104,2013-11-10 00:30:00,Orlando Magic,94
85,Brooklyn Nets,91,2013-11-10 00:30:00,Indiana Pacers,96
86,Cleveland Cavaliers,127,2013-11-10 00:30:00,Philadelphia 76ers,125
87,Houston Rockets,94,2013-11-10 01:00:00,Los Angeles Clippers,107
88,Memphis Grizzlies,108,2013-11-10 01:00:00,Golden State Warriors,90
89,Miami Heat,110,2013-11-10 00:30:00,Boston Celtics,111
90,Milwaukee Bucks,83,2013-11-10 01:30:00,Dallas Mavericks,91
91,Sacramento Kings,85,2013-11-10 03:00:00,Portland Trail Blazers,96
92,Toronto Raptors,115,2013-11-10 00:00:00,Utah Jazz,91
93,Los Angeles Lakers,90,2013-11-11 02:30:00,Minnesota Timberwolves,113
94,New York Knicks,89,2013-11-10 05:00:00,San Antonio Spurs,120
95,Oklahoma City Thunder,106,2013-11-11 00:00:00,Washington Wizards,105
96,Phoenix Suns,101,2013-11-11 01:00:00,New Orleans Pelicans,94
97,Boston Celtics,120,2013-11-12 00:30:00,Orlando Magic,105
98,Charlotte Bobcats,94,2013-11-12 00:00:00,Atlanta Hawks,103
99,Chicago Bulls,96,2013-11-12 01:00:00,Cleveland Cavaliers,81
100,Houston Rockets,110,2013-11-12 01:00:00,Toronto Raptors,104
101,Indiana Pacers,95,2013-11-12 00:00:00,Memphis Grizzlies,79
102,Los Angeles Clippers,109,2013-11-12 03:30:00,Minnesota Timberwolves,107
103,Philadelphia 76ers,85,2013-11-12 00:00:00,San Antonio Spurs,109
