,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,1,0,2015-10-28,5,22,14,C.J.,3,3,True,McCollum,1,NOP,3,37,2243.0,1,POR,9,6,6,0
1,14,0,2015-10-28,2,17,10,Ricky,7,6,False,Rubio,0,LAL,3,28,1949.0,1,MIN,4,2,2,1
2,6,0,2015-10-28,3,11,9,Jimmy,3,3,False,Butler,1,BRK,0,24,2059.0,2,CHI,3,3,4,1
3,4,0,2015-10-28,6,20,14,Blake,7,5,False,Griffin,2,SAC,3,33,2295.0,0,LAC,0,0,8,2
4,10,0,2015-10-28,1,23,12,Russell,7,6,True,Westbrook,1,SAS,3,33,2219.0,2,OKC,6,3,2,5
5,0,2,2015-10-28,7,22,13,Kawhi,5,5,False,Leonard,1,OKC,3,32,2119.0,3,SAS,3,1,8,3
6,4,2,2015-10-28,7,17,7,Greg,10,8,True,Monroe,7,NYK,3,22,2071.0,2,MIL,0,0,14,0
7,3,3,2015-10-28,6,15,7,Danilo,6,6,False,Gallinari,2,HOU,1,23,2136.0,1,DEN,5,3,8,0
8,7,0,2015-10-28,1,19,10,Isaiah,7,6,True,Thomas,1,PHI,1,27,1749.0,3,BOS,6,1,2,3
9,0,2,2015-10-28,8,17,10,Anthony,4,2,False,Davis,2,POR,1,25,2439.0,2,NOP,5,3,10,2
10,1,1,2015-10-28,4,15,10,Derrick,8,6,False,Favors,2,DET,3,26,2082.0,1,UTA,0,0,6,2
11,2,1,2015-10-28,3,17,10,Brook,7,6,True,Lopez,4,CHI,2,26,2000.0,0,BRK,0,0,7,3
12,11,0,2015-10-28,5,14,6,Chris,6,5,False,Paul,0,SAC,1,18,2194.0,2,LAC,4,1,5,2
13,6,0,2015-10-28,5,17,7,DeMar,16,10,True,DeRozan,0,IND,2,25,2152.0,2,TOR,2,1,5,2
14,0,1,2015-10-28,14,11,8,Jonas,6,5,True,Valanciunas,1,IND,4,21,1937.0,0,TOR,0,0,15,2
