,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
0,25,27,24,123,214,119,Quincy,68,50,59,29,Acy,876,65,103,307,PF,29,SAC,49,19,27,165,100
1,21,3,0,2,6,2,Jordan,5,3,2,0,Adams,15,0,2,7,SG,3,MEM,1,0,2,5,2
2,22,62,89,314,426,261,Steven,196,114,80,80,Adams,2014,219,223,636,C,42,OKC,0,0,84,426,261
3,30,144,10,243,799,354,Arron,131,110,71,57,Afflalo,2371,23,142,909,SG,25,NYK,238,91,82,561,263
4,27,31,36,194,315,150,Alexis,62,52,59,17,Ajinca,861,75,134,352,C,19,NOP,1,0,54,314,150
5,27,50,68,202,225,134,Cole,84,60,60,5,Aldrich,800,86,139,328,C,47,LAC,0,0,64,225,134
6,30,110,81,456,1045,536,LaMarcus,302,259,74,74,Aldridge,2261,176,151,1331,PF,38,SAS,16,0,99,1029,536
7,20,0,2,4,10,5,Cliff,0,0,8,0,Alexander,36,2,1,10,PF,1,POR,0,0,1,10,5
8,26,76,42,262,370,191,Lavoy,73,46,79,28,Allen,1599,162,147,428,PF,26,IND,0,0,69,370,191
9,34,70,18,192,469,215,Tony,138,90,64,57,Allen,1620,104,175,535,SG,110,MEM,42,15,78,427,200
10,25,138,53,401,719,299,Al-Farouq,156,115,82,82,Aminu,2341,98,171,839,SF,72,POR,349,126,120,370,173
11,33,12,7,26,53,19,Lou,27,14,29,0,Amundson,204,23,44,52,PF,6,NYK,0,0,15,53,19
12,33,14,1,26,59,21,Alan,15,11,13,0,Anderson,192,1,25,65,SG,4,WAS,37,12,2,22,9
13,26,41,14,73,178,67,James,29,22,51,15,Anderson,721,13,54,179,SG,21,SAC,86,23,42,92,44
14,22,29,25,114,175,71,Justin,55,44,55,9,Anderson,647,18,45,208,SF,19,DAL,83,22,24,92,49
15,22,123,29,219,295,138,Kyle,83,62,78,11,Anderson,1245,25,97,350,SF,60,SAS,37,12,59,258,126
16,27,73,25,265,929,397,Ryan,228,199,66,7,Anderson,2008,131,109,1124,PF,38,NOP,358,131,90,571,266
17,21,345,113,499,1013,513,Giannis,409,296,80,79,Antetokounmpo,2823,113,258,1350,PG,94,MIL,109,28,208,904,485
18,23,0,0,1,4,3,Thanasis,0,0,2,0,Antetokounmpo,6,0,2,6,SF,0,NYK,1,0,0,3,3
19,31,299,38,458,1307,567,Carmelo,403,334,72,72,Anthony,2530,98,180,1573,SF,62,NYK,310,105,176,997,462
20,33,1,12,13,10,6,Joel,8,6,19,0,Anthony,96,8,15,18,C,2,DET,0,0,2,10,6
21,23,1,0,1,8,2,Keith,2,2,5,0,Appling,27,0,5,6,PG,1,ORL,3,0,3,5,2
22,30,188,26,299,859,357,Trevor,161,126,81,81,Ariza,2859,67,177,1025,SF,160,HOU,499,185,113,360,172
23,27,96,48,207,489,221,Darrell,53,40,70,16,Arthur,1516,86,185,527,PF,53,DEN,117,45,66,372,176
24,29,26,23,294,195,104,Omer,112,61,68,64,Asik,1178,120,124,269,C,21,NOP,0,0,60,195,104
25,28,5,3,18,23,12,Jeff,6,6,17,0,Ayres,107,4,18,30,C,0,LAC,1,0,6,22,12
26,26,53,7,123,289,122,Luke,50,39,47,13,Babbitt,845,25,90,327,SF,11,NOP,109,44,23,180,78
27,25,6,3,24,40,13,Cameron,8,7,18,2,Bairstow,103,4,19,34,C,2,CHI,5,1,4,35,12
28,33,82,10,89,370,171,Leandro,62,52,68,0,Barbosa,1079,28,107,433,SG,44,GSW,110,39,53,260,132
29,31,302,2,126,711,317,J.J.,96,74,74,16,Barea,1667,26,110,808,PG,26,DAL,260,100,113,451,217
30,30,18,9,69,279,127,Andrea,57,47,46,0,Bargnani,634,28,61,304,C,4,BRK,16,3,26,263,124
31,23,117,10,248,633,295,Harrison,134,102,66,59,Barnes,2042,77,136,774,SF,41,GSW,214,82,57,419,213
32,35,163,57,336,693,264,Matt,138,111,76,45,Barnes,2190,84,234,758,SF,78,MEM,370,119,121,323,145
33,25,203,39,417,983,425,Will,268,216,82,1,Barton,2353,59,147,1178,SG,71,DEN,325,112,139,658,313
34,30,74,55,181,317,174,Brandon,148,125,66,0,Bass,1342,104,125,473,PF,33,LAL,2,0,42,315,174
35,27,403,43,373,873,372,Nicolas,192,163,70,70,Batum,2448,55,114,1046,SF,65,CHO,399,139,205,474,233
36,27,163,11,120,437,185,Jerryd,90,70,52,18,Bayless,1505,21,111,541,SG,47,MIL,231,101,73,206,84
37,29,51,52,244,384,194,Aron,165,126,81,1,Baynes,1233,140,151,514,C,21,DET,2,0,67,382,194
38,26,171,38,351,725,320,Kent,151,123,75,68,Bazemore,2083,28,176,872,SF,98,ATL,305,109,138,420,211
39,22,162,11,147,799,359,Bradley,176,135,55,35,Beal,1708,41,117,958,SG,54,WAS,271,105,112,528,254
40,27,16,9,69,205,107,Michael,49,38,20,0,Beasley,363,29,39,255,PF,11,HOU,9,3,24,196,104
41,29,127,2,107,635,245,Marco,138,115,68,7,Belinelli,1672,10,91,696,SG,37,SAC,297,91,80,338,154
42,22,0,0,17,27,8,Anthony,10,9,19,0,Bennett,84,6,8,28,PF,5,TOR,14,3,4,13,5
43,27,239,26,177,594,258,Patrick,88,60,71,63,Beverley,2041,73,234,700,PG,94,HOU,310,124,91,284,134
44,23,29,133,473,288,156,Bismack,226,142,82,22,Biyombo,1808,182,225,454,C,19,TOR,1,0,71,287,156
45,27,83,21,161,235,110,Nemanja,55,40,60,0,Bjelica,1075,49,154,308,PF,26,MIN,125,48,47,110,62
46,24,16,18,113,104,57,Tarik,45,19,39,0,Black,496,44,78,133,C,14,LAL,0,0,22,104,57
47,26,11,2,37,68,28,DeJuan,13,5,29,0,Blair,218,20,53,61,C,8,WAS,1,0,15,67,28
48,35,200,5,80,240,93,Steve,20,16,58,2,Blake,986,9,70,254,PG,24,DET,151,52,81,89,41
49,26,190,19,107,492,223,Eric,172,138,31,31,Bledsoe,1059,18,75,632,PG,63,PHO,129,48,110,363,175
50,26,99,5,219,749,324,Bojan,132,110,79,39,Bogdanovic,2115,36,119,887,SF,29,BRK,338,129,115,411,195
51,31,162,114,371,279,175,Andrew,50,24,70,66,Bogut,1451,121,221,375,C,33,GSW,1,1,83,278,174
52,35,9,1,24,57,29,Matt,4,3,30,2,Bonner,206,3,16,76,C,6,SAS,34,15,3,23,14
53,19,200,20,160,867,367,Devin,256,215,76,51,Booker,2108,27,225,1048,SG,44,PHO,289,99,160,578,268
54,28,84,41,286,388,190,Trevor,106,71,79,2,Booker,1632,166,169,463,PF,59,UTA,41,12,81,347,178
55,31,128,34,342,767,358,Chris,268,213,53,53,Bosh,1778,48,101,1010,PF,36,MIA,222,81,78,545,277
56,25,158,19,172,1019,456,Avery,123,96,76,72,Bradley,2536,48,164,1155,SG,117,BOS,407,147,109,612,309
57,36,18,8,54,72,31,Elton,9,8,17,1,Brand,225,9,32,70,C,9,PHI,1,0,11,71,31
58,29,109,19,157,552,212,Corey,140,105,82,12,Brewer,1669,42,168,590,SF,84,HOU,224,61,78,328,151
59,31,180,10,80,469,188,Aaron,64,49,69,0,Brooks,1108,21,132,491,PG,30,CHI,185,66,82,284,122
60,23,19,5,61,126,39,Anthony,20,17,29,11,Brown,599,9,34,115,SF,14,LAL,70,20,15,56,19
61,25,11,1,7,25,8,Lorenzo,4,3,8,0,Brown,61,0,4,20,PG,3,PHO,8,1,9,17,7
62,24,91,15,99,322,127,Markel,94,71,62,6,Brown,982,23,94,363,SG,38,BRK,121,38,54,201,89
63,37,184,13,206,1113,398,Kobe,281,232,66,66,Bryant,1863,41,115,1161,SF,62,LAL,467,133,129,646,265
64,24,27,2,54,98,43,Reggie,15,14,37,0,Bullock,429,14,29,122,SF,10,DET,53,22,8,45,21
65,23,148,6,94,634,262,Trey,82,67,64,0,Burke,1366,18,86,679,PG,35,UTA,256,88,80,378,174
66,24,63,4,93,334,137,Alec,141,106,31,3,Burks,797,16,71,412,SG,18,UTA,79,32,51,255,105
67,35,10,1,17,59,25,Caron,12,10,17,1,Butler,176,5,19,63,SF,9,SAC,18,3,3,41,22
68,26,321,43,279,1035,470,Jimmy,475,395,67,67,Butler,2474,79,124,1399,SG,110,CHI,205,64,132,830,406
69,36,24,23,53,104,49,Rasual,16,11,46,0,Butler,432,3,11,124,SF,13,SAS,49,15,8,55,34
70,20,1,1,1,12,1,Bruno,0,0,6,1,Caboclo,43,1,2,3,SF,2,TOR,7,1,4,5,0
71,34,298,7,207,455,209,Jose,48,42,72,72,Calderon,2024,22,135,544,PG,63,NYK,203,84,87,252,125
72,22,138,17,212,960,403,Kentavious,228,185,76,76,Caldwell-Pope,2789,70,167,1105,SG,110,DET,369,114,105,591,289
73,24,137,12,154,722,260,Isaiah,180,150,77,39,Canaan,1966,20,133,846,SG,56,PHI,485,176,91,237,84
74,21,47,92,300,397,231,Clint,211,80,77,35,Capela,1471,194,190,542,C,59,HOU,1,0,60,396,231
75,29,27,6,91,270,105,DeMarre,50,30,26,22,Carroll,786,31,63,286,SF,44,TOR,118,46,28,152,59
76,39,56,16,115,343,133,Vince,84,70,60,3,Carter,1005,31,101,395,SG,38,MEM,169,59,35,174,74
77,24,281,41,228,555,251,Michael,162,106,54,37,Carter-Williams,1649,48,162,623,PG,80,MIL,55,15,153,500,236
78,27,95,17,352,622,299,Omri,159,103,69,21,Casspi,1880,58,154,813,PF,56,SAC,274,112,94,348,187
79,22,37,66,218,339,191,Willie,125,81,66,39,Cauley-Stein,1412,134,146,463,C,48,SAC,2,0,46,337,191
