
,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,C. Anthony | R. Westbrook,1592:48,+4.7,+3.2,+6.8,+.001,-2.0,-5.0,-.007,-.015,+0.1,+1.9,-.056,+5.5,+9.9,+1.8,+9.9,+3.6,+8.0,-1.7,+1.5,+0.2,-1.9,-0.2
2,P. George | R. Westbrook,1571:43,+7.6,+4.3,+6.6,+.014,-1.1,-3.2,+.003,+.003,0.0,+2.0,-.062,+4.4,+8.6,+2.0,+8.6,+3.2,+7.2,-0.1,+2.2,+0.2,-2.9,0.0
3,S. Adams | R. Westbrook,1509:39,+6.1,+4.3,+7.5,+.009,-1.5,-4.8,+.005,-.005,-0.9,+0.9,-.070,+5.9,+11.4,+3.0,+11.4,+4.4,+9.7,-1.5,+1.8,0.0,-1.5,-0.1
4,C. Anthony | P. George,1348:19,+5.8,+3.6,+6.7,+.005,-1.6,-3.7,-.009,-.008,+0.2,+2.0,-.059,+5.0,+9.5,+2.0,+9.5,+3.4,+7.7,-0.5,+2.0,+0.4,-2.2,0.0
5,S. Adams | P. George,1348:08,+6.9,+4.1,+6.7,+.011,-0.9,-2.9,+.003,+.001,-0.3,+1.5,-.066,+5.1,+9.8,+2.3,+9.8,+3.6,+8.2,-1.0,+2.5,+0.1,-2.1,-0.2
6,S. Adams | C. Anthony,1324:11,+4.9,+3.7,+7.8,+.001,-2.1,-5.1,-.010,-.015,-0.5,+1.0,-.056,+6.2,+11.4,+2.5,+11.4,+4.3,+9.4,-1.8,+1.4,+0.1,-1.1,-0.1
7,A. Roberson | R. Westbrook,957:14,+11.7,+6.4,+9.9,+.021,-2.3,-7.2,+.005,+.002,+1.2,+3.8,-.069,+6.7,+12.8,+3.4,+12.8,+5.2,+11.4,-0.2,+3.3,+0.4,-4.6,-1.1
8,C. Anthony | A. Roberson,862:36,+10.3,+5.7,+10.4,+.011,-2.8,-7.1,-.013,-.011,+1.7,+4.4,-.067,+6.9,+12.7,+2.7,+12.7,+5.0,+10.9,-0.7,+3.6,+0.3,-4.8,-1.4
9,S. Adams | A. Roberson,781:18,+12.0,+6.6,+10.0,+.023,-2.8,-8.5,-.001,+.001,+1.5,+4.2,-.071,+7.6,+15.1,+4.9,+15.1,+6.3,+13.9,-0.7,+3.4,+0.2,-3.6,-1.1
10,P. George | A. Roberson,762:58,+14.4,+7.6,+9.3,+.039,-2.2,-7.3,+.008,+.020,+1.4,+3.9,-.070,+5.9,+12.5,+4.5,+12.5,+5.4,+12.1,+1.6,+4.0,+0.6,-4.9,-0.5
11,P. George | J. Grant,711:39,-1.5,-0.2,+1.5,-.010,+1.3,+2.8,+.007,-.004,-2.3,-0.4,-.076,-0.6,-2.4,-2.6,-2.4,-1.5,-3.5,-0.3,+1.0,-0.6,-2.4,+0.9
12,R. Felton | J. Grant,689:27,-4.6,-2.3,+0.1,-.026,+0.7,+6.2,-.043,-.022,-0.8,+0.5,-.051,-1.4,-4.3,-3.9,-4.3,-2.7,-5.8,-4.2,+1.2,+0.8,-1.8,-0.8
13,R. Felton | P. Patterson,682:41,-8.0,-4.1,-3.0,-.031,-0.5,+3.7,-.055,-.031,+0.6,+2.8,-.069,-2.7,-7.1,-5.1,-7.1,-3.9,-8.6,-5.6,+1.4,+0.8,-2.4,-1.0
14,J. Grant | P. Patterson,596:32,-5.7,-3.7,-0.5,-.039,+0.2,+6.1,-.058,-.037,+1.4,+2.9,-.032,-1.1,-4.2,-4.7,-4.2,-2.9,-6.3,-4.1,+0.7,+1.0,-2.2,-1.3
15,J. Grant | R. Westbrook,574:17,+7.4,+3.0,+2.1,+.024,+0.7,-0.4,+.026,+.026,+0.8,+2.0,-.026,+1.1,+2.4,+0.6,+2.4,+1.0,+2.3,+0.4,-0.5,-0.2,-2.0,-0.5
16,R. Felton | P. George,532:18,-10.1,-4.4,+1.1,-.056,+1.6,+7.6,-.038,-.048,-2.9,-1.4,-.078,-2.2,-7.3,-6.6,-7.3,-4.5,-9.9,-5.5,+3.1,-0.7,-3.6,+1.2
17,P. George | P. Patterson,476:46,-11.2,-6.2,-1.2,-.065,+0.8,+5.5,-.033,-.060,+0.3,+2.8,-.077,-1.5,-5.8,-6.0,-5.8,-3.9,-8.6,-5.7,+2.0,-0.4,-3.0,+0.1
18,A. Abrines | J. Grant,460:36,+0.4,-0.7,-1.0,-.003,+2.1,+5.6,+.002,+.011,-0.4,+0.4,-.026,-1.6,-4.4,-2.8,-4.4,-2.4,-5.7,-2.8,+1.8,+0.6,-2.0,-0.4
19,J. Grant | J. Huestis,440:57,+0.5,+0.1,-0.5,+.004,-0.2,+1.7,-.023,+.003,+0.5,+1.8,-.031,+1.6,+3.3,+1.3,+3.3,+1.5,+3.3,-1.3,-2.6,+1.9,+1.5,-1.0
20,A. Abrines | P. George,418:36,+2.4,-0.6,-0.6,-.004,+2.8,+3.9,+.043,+.013,+0.9,+3.8,-.085,-1.7,-5.0,-3.2,-5.0,-2.8,-6.8,-0.8,+3.2,-0.7,-3.3,-0.1
