
,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,S. Adams | C. Anthony | R. Westbrook,1306:56,+4.9,+3.7,+7.5,+.002,-2.1,-5.2,-.008,-.014,-0.6,+1.0,-.063,+6.1,+11.3,+2.5,+11.3,+4.2,+9.4,-1.6,+1.5,0.0,-1.1,-0.1
2,C. Anthony | P. George | R. Westbrook,1304:38,+6.0,+4.0,+6.9,+.009,-1.8,-4.2,-.009,-.006,-0.2,+1.6,-.063,+5.2,+10.0,+2.2,+10.0,+3.6,+8.2,-0.6,+2.0,+0.3,-2.1,+0.1
3,S. Adams | P. George | R. Westbrook,1229:02,+7.2,+4.5,+6.8,+.015,-1.4,-3.9,.000,+.002,-0.4,+1.3,-.062,+5.2,+10.6,+3.0,+10.6,+4.1,+9.3,-0.5,+2.3,+0.3,-1.7,0.0
4,S. Adams | C. Anthony | P. George,1095:51,+6.1,+4.0,+7.3,+.007,-2.1,-4.3,-.018,-.010,0.0,+1.4,-.048,+5.8,+11.3,+2.9,+11.3,+4.3,+9.6,-0.9,+2.0,+0.3,-1.4,-0.1
5,C. Anthony | A. Roberson | R. Westbrook,841:02,+11.0,+6.0,+9.8,+.017,-2.7,-8.1,+.002,-.004,+1.7,+4.5,-.071,+7.1,+13.4,+3.6,+13.4,+5.4,+11.8,-0.6,+3.4,+0.3,-4.3,-1.3
6,S. Adams | A. Roberson | R. Westbrook,759:18,+11.7,+6.4,+10.1,+.020,-2.8,-8.4,-.002,-.002,+1.6,+4.5,-.074,+7.5,+14.9,+4.8,+14.9,+6.2,+13.6,-0.9,+3.2,+0.3,-3.7,-1.2
7,P. George | A. Roberson | R. Westbrook,734:40,+15.0,+8.0,+9.1,+.044,-2.2,-7.8,+.016,+.025,+1.2,+3.6,-.066,+5.8,+12.6,+5.0,+12.6,+5.6,+12.6,+1.7,+3.8,+0.7,-4.7,-0.5
8,S. Adams | C. Anthony | A. Roberson,692:22,+11.0,+5.7,+9.5,+.015,-3.0,-8.8,-.004,-.007,+2.6,+5.4,-.061,+7.2,+14.1,+4.4,+14.1,+5.9,+12.9,-1.3,+3.2,+0.1,-3.5,-1.5
9,C. Anthony | P. George | A. Roberson,664:46,+15.0,+7.9,+9.8,+.039,-2.7,-8.0,+.003,+.017,+1.8,+4.3,-.062,+6.4,+13.5,+4.9,+13.5,+5.7,+12.8,+0.9,+4.1,+0.7,-4.8,-0.9
10,S. Adams | P. George | A. Roberson,591:14,+15.3,+7.9,+8.8,+.044,-2.9,-8.8,-.001,+.022,+2.4,+5.0,-.065,+6.4,+14.5,+6.6,+14.5,+6.6,+14.8,+0.6,+4.0,+0.8,-3.9,-1.1
11,R. Felton | J. Grant | P. Patterson,505:44,-10.1,-5.3,-3.4,-.043,-0.6,+5.5,-.074,-.043,+1.0,+2.6,-.043,-2.6,-7.2,-5.8,-7.2,-4.2,-9.0,-5.3,+0.5,+1.2,-1.6,-1.2
12,P. George | J. Grant | R. Westbrook,399:37,+9.1,+4.5,+3.6,+.034,+1.0,-0.1,+.033,+.037,-0.9,+0.8,-.056,+0.9,+1.7,0.0,+1.7,+0.7,+1.7,+3.1,+0.2,-0.6,-3.3,+0.7
13,R. Felton | P. George | J. Grant,364:11,-12.6,-5.2,+0.8,-.064,+1.6,+8.3,-.044,-.055,-3.7,-1.7,-.104,-2.6,-8.3,-6.9,-8.3,-4.8,-10.8,-5.4,+2.3,-0.4,-3.2,+1.2
14,R. Felton | P. George | P. Patterson,343:48,-20.2,-9.2,-7.6,-.068,0.0,+5.3,-.059,-.062,-1.7,+0.1,-.084,-6.0,-14.1,-7.5,-14.1,-6.8,-15.0,-8.0,+1.1,0.0,-1.2,+1.1
15,A. Abrines | S. Adams | R. Westbrook,314:51,+2.2,+1.2,+3.9,-.007,-0.7,-4.0,+.024,-.014,+0.5,+3.2,-.078,+4.2,+7.8,+1.2,+7.8,+2.3,+5.1,-2.5,+0.1,-0.2,-0.7,-0.3
16,P. George | J. Grant | P. Patterson,313:42,-15.5,-7.0,-1.0,-.075,-0.6,+4.9,-.069,-.077,-0.9,+0.6,-.057,-2.2,-7.4,-6.7,-7.4,-4.4,-9.8,-6.3,+0.5,-0.2,-1.7,+0.7
17,A. Abrines | C. Anthony | R. Westbrook,307:08,-4.8,-3.5,+0.8,-.042,-2.3,-5.7,-.007,-.055,+4.3,+7.8,-.057,+3.2,+4.4,-1.4,+4.4,+0.6,+1.3,-4.1,-0.5,-0.2,-1.9,-1.4
18,R. Felton | J. Huestis | P. Patterson,303:07,-3.1,-2.3,-3.5,-.008,-0.3,+2.3,-.033,-.008,+1.7,+3.0,-.019,-0.7,-1.6,-1.0,-1.6,-0.9,-1.8,-4.2,-1.0,+2.6,-0.2,-2.6
19,A. Abrines | R. Felton | J. Grant,296:32,-3.9,-1.6,+1.0,-.024,+2.5,+8.3,-.012,-.010,-3.1,-3.8,-.003,-3.0,-8.5,-5.7,-8.5,-4.4,-10.3,-2.9,+2.8,+0.4,-3.1,+0.3
