
,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,S. Adams | C. Anthony | P. George | R. Westbrook,1084:19,+5.8,+4.0,+7.2,+.007,-2.1,-4.4,-.017,-.009,-0.2,+1.2,-.056,+5.7,+11.0,+2.8,+11.0,+4.1,+9.3,-0.8,+2.1,+0.3,-1.4,-0.1
2,S. Adams | C. Anthony | A. Roberson | R. Westbrook,690:01,+11.1,+5.7,+9.2,+.017,-3.1,-9.0,-.003,-.006,+2.7,+5.7,-.065,+7.1,+14.1,+4.7,+14.1,+6.0,+13.0,-1.3,+3.3,+0.1,-3.5,-1.5
3,C. Anthony | P. George | A. Roberson | R. Westbrook,661:09,+15.6,+8.2,+10.0,+.041,-2.6,-8.3,+.008,+.020,+1.7,+4.2,-.061,+6.5,+13.9,+5.2,+13.9,+5.9,+13.4,+1.1,+4.1,+0.7,-4.8,-0.9
4,S. Adams | P. George | A. Roberson | R. Westbrook,582:39,+14.6,+7.6,+8.8,+.041,-3.0,-8.8,-.004,+.018,+2.4,+4.9,-.059,+6.4,+14.3,+6.3,+14.3,+6.4,+14.5,+0.4,+3.9,+0.8,-3.8,-1.1
5,S. Adams | C. Anthony | P. George | A. Roberson,538:42,+15.6,+7.6,+9.0,+.038,-3.3,-9.3,-.005,+.014,+3.7,+6.3,-.040,+6.6,+14.8,+6.5,+14.8,+6.6,+14.8,-0.2,+4.3,+0.7,-4.1,-1.6
6,R. Felton | P. George | J. Grant | P. Patterson,246:26,-22.8,-9.7,-5.6,-.083,-0.4,+5.7,-.070,-.081,-3.1,-1.8,-.080,-5.4,-13.6,-8.7,-13.6,-7.0,-15.3,-8.1,+0.6,+0.4,-1.2,+1.9
7,A. Abrines | S. Adams | C. Anthony | R. Westbrook,241:41,-5.6,-2.4,+3.5,-.043,-1.8,-4.9,-.004,-.056,+0.8,+4.3,-.107,+4.7,+7.3,-0.6,+7.3,+1.6,+3.6,-3.1,-0.9,-0.3,-0.1,-0.7
8,S. Adams | C. Anthony | T. Ferguson | R. Westbrook,230:08,-8.3,-0.8,+9.5,-.056,-1.6,+1.2,-.067,-.071,-5.1,-4.5,-.085,+9.5,+14.0,-0.2,+14.0,+4.6,+10.0,-8.4,-1.4,-0.2,+3.7,+0.6
9,R. Felton | J. Grant | J. Huestis | P. Patterson,229:04,-7.0,-4.0,-3.0,-.030,-1.5,+3.7,-.079,-.036,+2.4,+4.5,-.038,+0.1,-1.0,-2.6,-1.0,-1.1,-2.4,-3.5,-1.2,+2.2,+0.1,-3.0
10,A. Abrines | R. Felton | J. Grant | P. Patterson,220:58,-11.2,-6.2,-1.3,-.065,+0.4,+6.2,-.054,-.062,+0.7,+0.2,+.021,-2.0,-7.7,-8.7,-7.7,-5.5,-12.1,-4.6,+1.7,+0.5,-2.9,-0.1
11,C. Anthony | T. Ferguson | P. George | R. Westbrook,218:34,-12.4,-2.7,+7.3,-.066,-2.2,+0.6,-.079,-.082,-4.7,-3.5,-.107,+7.9,+10.7,-2.0,+10.7,+2.8,+6.0,-7.4,-1.5,+0.5,+2.9,0.0
12,S. Adams | C. Anthony | T. Ferguson | P. George,205:54,-10.3,-1.6,+8.3,-.059,-2.0,+1.6,-.086,-.075,-5.0,-4.1,-.101,+8.6,+11.7,-1.6,+11.7,+3.4,+7.3,-7.3,-1.6,+0.5,+3.2,0.0
13,S. Adams | T. Ferguson | P. George | R. Westbrook,205:15,-10.4,-1.8,+8.0,-.059,-2.6,+1.3,-.098,-.078,-4.3,-3.2,-.098,+8.5,+11.8,-1.6,+11.8,+3.4,+7.3,-7.6,-1.4,+0.5,+3.0,-0.4
