
,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,S. Adams | C. Anthony | P. George | A. Roberson | R. Westbrook,538:42,+15.6,+7.6,+9.0,+.038,-3.3,-9.3,-.005,+.014,+3.7,+6.3,-.040,+6.6,+14.8,+6.5,+14.8,+6.6,+14.8,-0.2,+4.3,+0.7,-4.1,-1.6
2,S. Adams | C. Anthony | T. Ferguson | P. George | R. Westbrook,204:08,-10.6,-1.8,+8.1,-.059,-2.3,+1.5,-.091,-.076,-4.7,-3.6,-.107,+8.7,+11.9,-1.5,+11.9,+3.5,+7.6,-7.5,-1.7,+0.5,+3.3,-0.1
3,A. Abrines | S. Adams | C. Anthony | P. George | R. Westbrook,139:16,+3.3,+0.4,+0.5,+.001,+1.0,-1.1,+.045,+.007,+1.5,+3.3,-.050,+2.2,+5.0,+2.1,+5.0,+1.5,+3.6,+0.8,-0.9,-0.1,+1.3,-0.5
4,A. Abrines | R. Felton | P. George | J. Grant | P. Patterson,96:49,-28.5,-10.7,-1.0,-.123,-0.6,+6.7,-.083,-.126,-6.4,-7.0,-.040,-7.4,-24.1,-17.2,-24.1,-12.4,-30.3,-7.5,+3.7,+0.5,-5.4,+3.7
5,S. Adams | C. Anthony | P. George | J. Grant | R. Westbrook,79:06,-8.4,+1.2,+1.2,+.007,-1.2,-1.8,-.021,-.001,-9.6,-15.7,+.090,+1.8,+3.0,-0.6,+3.0,+0.6,+1.5,+5.4,-4.2,-2.4,+6.6,+3.3
6,A. Abrines | S. Adams | C. Anthony | A. Roberson | R. Westbrook,76:16,-15.4,-6.7,+13.3,-.126,-6.2,-12.4,-.077,-.165,+3.6,+9.3,-.097,+12.0,+12.8,-7.3,+12.8,+2.5,+4.7,-7.5,+2.8,-1.4,-6.2,-0.7
7,S. Adams | C. Anthony | P. George | J. Huestis | R. Westbrook,74:54,+5.8,+5.3,+2.2,+.045,-2.3,-4.1,-.023,+.031,-2.4,+3.0,-.210,+2.4,+5.1,+2.0,+5.1,+2.1,+4.5,+4.3,+5.7,+4.9,-5.1,+3.1
8,A. Abrines | R. Felton | J. Grant | J. Huestis | P. Patterson,66:01,+4.0,-2.9,+3.1,-.045,+0.9,+5.0,-.027,-.043,+8.9,+5.0,+.179,+5.6,+8.3,-2.7,+8.3,+1.6,+3.3,-1.4,-0.1,0.0,-2.3,-3.2
9,R. Felton | T. Ferguson | J. Grant | J. Huestis | P. Patterson,65:53,-1.9,-1.2,-1.2,-.007,-3.4,+9.4,-.177,-.025,+3.9,+8.3,-.133,+2.2,+1.2,-5.2,+1.2,-0.8,-1.7,+1.3,+1.2,+7.2,-1.8,-2.9
10,C. Anthony | P. George | D. Johnson | A. Roberson | R. Westbrook,56:50,+10.1,+8.9,+9.8,+.056,-6.3,-12.4,-.073,+.012,-1.4,-5.0,+.088,+2.9,+5.2,+0.3,+5.2,+1.8,+4.1,+1.3,+0.7,+0.9,-4.3,+1.4
11,R. Felton | P. George | J. Grant | J. Huestis | P. Patterson,55:49,-20.0,-9.2,-15.2,-.038,+0.1,+3.2,-.025,-.029,-1.7,+2.1,-.130,-7.5,-10.5,+0.6,-10.5,-3.3,-6.4,-5.5,-2.9,-0.1,+6.7,0.0
