Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Russell Westbrook\westbru01,29,55,1986,25.1,.518,.204,.318,5.1,24.6,14.5,51.3,2.7,0.5,15.8,35.0,,3.8,3.3,7.0,.170,,5.5,3.2,8.7,5.3
2,Paul George\georgpa01,27,54,1968,19.7,.584,.449,.294,2.6,14.5,8.3,13.6,3.1,1.4,12.5,25.9,,3.8,3.0,6.7,.164,,3.0,0.3,3.3,2.6
3,Carmelo Anthony\anthoca01,33,54,1738,13.7,.508,.377,.187,2.4,19.0,10.4,7.0,1.0,1.9,7.1,24.1,,1.2,2.0,3.2,.088,,-1.8,-1.7,-3.5,-0.6
4,Steven Adams\adamsst01,24,52,1677,21.2,.632,.004,.357,17.3,14.0,15.7,4.6,1.9,2.8,12.4,16.6,,4.8,2.2,7.0,.200,,2.4,1.0,3.3,2.3
5,Jerami Grant\grantje01,23,56,1157,14.5,.577,.240,.474,6.1,16.3,11.0,5.4,0.9,4.0,10.0,15.6,,1.8,1.4,3.3,.135,,-1.5,0.5,-1.1,0.3
6,Andre Roberson\roberan03,26,39,1037,11.0,.543,.222,.235,7.8,12.3,10.0,6.0,2.2,3.1,14.4,8.7,,0.9,1.4,2.3,.105,,-1.3,2.9,1.6,0.9
7,Raymond Felton\feltora01,33,57,982,13.4,.491,.384,.094,2.1,11.8,6.8,23.5,1.7,0.8,11.5,19.8,,0.8,1.0,1.8,.088,,-1.1,-1.6,-2.7,-0.2
8,Patrick Patterson\pattepa01,28,57,871,8.5,.512,.665,.156,2.5,13.9,8.0,5.7,2.0,1.6,11.6,10.7,,0.4,1.1,1.4,.079,,-2.4,0.5,-1.9,0.0
9,Alex Abrines\abrinal01,24,51,812,9.0,.566,.719,.176,2.7,9.3,5.9,3.2,1.7,0.6,8.9,13.2,,0.9,0.8,1.6,.096,,-0.8,-1.6,-2.4,-0.1
10,Josh Huestis\huestjo01,26,51,745,5.4,.416,.634,.112,4.8,14.0,9.3,2.5,0.9,4.3,13.5,9.4,,-0.4,0.9,0.4,.028,,-4.7,1.1,-3.6,-0.3
11,Terrance Ferguson\fergute01,19,42,526,5.3,.477,.695,.051,3.3,4.2,3.7,2.8,1.6,0.9,6.9,10.6,,0.1,0.4,0.5,.049,,-2.3,-1.3,-3.6,-0.2
12,Dakari Johnson\johnsda04,22,25,147,16.0,.556,.000,.432,10.3,12.6,11.4,7.9,2.0,4.4,6.4,13.8,,0.3,0.2,0.5,.173,,-1.2,1.6,0.4,0.1
13,Kyle Singler\singlky01,29,11,53,7.4,.465,.263,.684,2.0,17.5,9.5,2.7,0.9,0.0,10.8,22.6,,-0.1,0.0,0.0,-0.005,,-7.2,-4.7,-11.9,-0.1
14,Nick Collison\collini01,37,9,52,13.0,.799,.000,.750,6.3,22.3,14.0,8.4,0.0,0.0,27.3,12.1,,0.1,0.0,0.1,.114,,-2.5,-1.9,-4.4,0.0
15,Daniel Hamilton\hamilda02,22,4,25,20.7,.545,.455,.000,0.0,23.2,11.2,44.9,2.0,0.0,15.4,22.4,,0.1,0.0,0.1,.177,,1.6,-1.5,0.0,0.0
16,PJ Dozier\doziepj01,21,2,3,-4.9,.500,.000,.000,0.0,38.7,18.7,0.0,0.0,0.0,33.3,43.1,,0.0,0.0,0.0,-0.398,,-23.5,-10.4,-33.9,0.0
