	Total	57	32	25	39.8	87.8	10.3	29.4	16.4	23.2	12.5	44.8	21.0	9.3	5.0	13.5	20.3	106.2	37.7	82.8	10.8	30.4	16.5	21.6	9.3	41.4	22.8	7.6	4.6	15.4	20.8	102.7
Place	Home	29	20	9	39.8	85.6	9.5	28.2	18.0	25.0	12.3	44.5	20.4	9.0	5.3	14.1	20.1	107.1	37.1	82.2	11.2	30.4	15.9	21.1	9.2	39.6	21.5	8.3	3.8	15.7	21.9	101.3
Road	28	12	16	39.8	90.0	11.0	30.6	14.6	21.3	12.8	45.2	21.6	9.6	4.7	12.8	20.5	105.3	38.4	83.4	10.5	30.5	17.0	22.2	9.4	43.4	24.2	6.9	5.4	15.1	19.8	104.2
All-Star	Pre	57	32	25	39.8	87.8	10.3	29.4	16.4	23.2	12.5	44.8	21.0	9.3	5.0	13.5	20.3	106.2	37.7	82.8	10.8	30.4	16.5	21.6	9.3	41.4	22.8	7.6	4.6	15.4	20.8	102.7
Result	Win	32	32	0	41.6	87.4	10.7	28.7	17.7	25.0	13.0	46.3	22.2	9.7	5.3	13.3	20.6	111.5	35.8	82.7	10.5	31.8	16.6	21.6	9.7	39.9	21.6	8.0	4.1	16.1	21.5	98.7
Loss	25	0	25	37.5	88.3	9.7	30.2	14.7	20.9	11.9	43.0	19.6	8.7	4.7	13.6	19.9	99.4	40.2	82.8	11.3	28.6	16.3	21.6	8.9	43.3	24.4	7.1	5.3	14.4	19.9	107.9
Month	October	7	4	3	40.3	86.9	10.9	31.3	15.1	20.4	11.0	42.4	23.4	10.7	6.4	15.1	21.9	106.6	33.9	80.9	9.0	28.1	19.0	24.0	10.7	41.4	20.3	8.4	3.9	18.1	20.4	95.7
November	13	4	9	36.2	85.8	10.8	31.2	16.6	22.8	11.2	42.8	19.4	10.8	4.1	13.4	20.9	99.8	36.8	79.8	11.2	29.8	16.3	21.4	8.8	43.5	21.8	7.4	4.9	17.5	20.5	101.2
December	17	12	5	39.8	86.7	9.4	26.0	15.9	23.2	13.2	45.8	20.5	8.4	5.2	13.8	19.9	105.0	37.6	82.0	11.4	32.0	15.4	20.7	8.6	39.0	22.2	8.5	4.7	13.4	21.1	102.0
January	14	10	4	42.9	90.1	10.6	29.9	16.6	23.7	13.9	47.1	21.7	8.6	5.0	12.7	19.7	112.9	38.9	85.1	10.9	30.4	17.4	22.7	9.9	41.1	23.9	7.1	3.8	14.1	20.4	105.9
February	6	2	4	39.7	90.7	10.2	31.8	17.8	25.7	12.2	44.3	21.5	8.3	4.7	12.3	19.3	107.3	41.5	88.0	10.8	29.8	14.8	19.3	9.7	44.7	27.0	5.8	6.5	16.0	22.0	108.7
Day	Sunday	9	4	5	40.1	86.3	10.4	30.2	16.1	24.6	10.1	40.4	20.6	8.3	4.1	12.8	21.6	106.8	38.3	82.7	10.9	30.0	17.6	22.4	9.8	41.7	21.2	6.6	5.4	15.4	21.8	105.1
Monday	5	3	2	38.2	84.0	8.8	26.6	17.2	23.8	10.6	43.6	18.4	9.2	5.0	14.0	19.2	102.4	37.8	82.4	10.2	30.8	18.0	24.8	8.4	42.0	22.8	9.4	2.8	13.6	21.6	103.8
Tuesday	7	4	3	37.0	85.6	9.6	28.9	21.0	27.9	11.6	45.1	17.9	9.6	4.4	13.9	20.3	104.6	36.3	80.1	10.0	28.9	19.0	23.7	7.4	41.3	23.3	8.0	5.1	16.7	23.4	101.6
Wednesday	10	8	2	40.4	86.7	10.0	28.1	18.0	24.3	13.9	48.0	21.9	10.3	5.1	14.3	20.4	108.8	34.9	81.4	10.1	29.8	15.9	20.4	9.1	39.0	20.5	9.1	4.3	15.6	20.4	95.8
Thursday	7	3	4	42.0	92.6	10.0	30.7	12.7	19.7	14.0	45.0	21.6	9.4	5.6	13.3	19.6	106.7	40.6	88.6	11.0	31.7	14.7	20.0	11.6	44.7	26.3	5.9	5.6	15.4	19.3	106.9
Friday	10	4	6	40.6	89.2	10.1	29.1	16.1	22.1	13.0	44.8	22.8	7.9	5.9	14.2	21.0	107.4	40.3	85.1	12.3	30.7	15.7	21.4	10.1	41.3	24.9	7.8	4.4	15.1	20.7	108.6
