
Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Russell Westbrook\westbru01,29,55,55,1986,13.3,29.9,.445,1.9,6.1,.305,11.5,23.8,.482,6.8,9.5,.717,2.4,10.6,12.9,14.2,2.7,0.3,6.4,3.3,35.3,,108,103
2,Paul George\georgpa01,27,54,54,1968,10.4,23.2,.445,4.5,10.4,.428,5.9,12.8,.459,5.5,6.8,.803,1.2,6.2,7.4,4.2,3.1,0.7,3.8,4.0,30.7,,113,104
3,Carmelo Anthony\anthoca01,33,54,54,1738,9.9,23.9,.412,3.1,9.0,.347,6.7,14.9,.451,3.5,4.5,.776,1.1,8.2,9.3,2.2,1.0,1.0,2.0,4.1,26.3,,105,108
4,Steven Adams\adamsst01,24,52,52,1677,9.2,14.6,.629,0.0,0.1,.000,9.2,14.5,.631,3.0,5.2,.577,8.0,6.0,14.0,1.5,1.9,1.5,2.4,4.5,21.4,,127,106
5,Jerami Grant\grantje01,23,56,1,1157,6.9,13.5,.510,0.8,3.2,.253,6.0,10.2,.591,4.2,6.4,.662,2.8,7.0,9.8,1.9,0.9,2.2,1.8,4.9,18.8,,117,107
6,Andre Roberson\roberan03,26,39,39,1037,4.2,7.8,.537,0.4,1.7,.222,3.8,6.1,.627,0.6,1.8,.316,3.6,5.3,8.9,2.2,2.2,1.7,1.4,4.3,9.3,,114,106
7,Raymond Felton\feltora01,33,57,2,982,8.0,19.5,.410,2.5,7.5,.340,5.4,12.0,.453,1.4,1.8,.778,1.0,5.1,6.1,7.8,1.7,0.5,2.6,2.8,19.9,,106,109
8,Patrick Patterson\pattepa01,28,57,2,871,3.7,10.3,.358,2.4,6.8,.353,1.3,3.4,.367,1.5,1.6,.929,1.1,6.0,7.1,2.1,2.0,0.9,1.4,3.4,11.2,,106,107
9,Alex Abrines\abrinal01,24,51,6,812,5.1,12.9,.395,3.6,9.3,.384,1.5,3.6,.424,2.0,2.3,.865,1.2,4.0,5.2,1.2,1.7,0.3,1.4,5.7,15.7,,114,109
10,Josh Huestis\huestjo01,26,51,3,745,3.0,9.0,.336,1.5,5.7,.271,1.5,3.3,.449,0.3,1.0,.267,2.2,6.0,8.2,0.9,0.9,2.3,1.5,4.6,7.8,,89,107
11,Terrance Ferguson\fergute01,19,42,12,526,4.2,11.2,.373,2.1,7.8,.268,2.1,3.4,.611,0.5,0.6,.833,1.5,1.8,3.3,1.0,1.6,0.5,0.9,6.1,10.9,,103,110
12,Dakari Johnson\johnsda04,22,25,5,147,6.8,12.6,.541,0.0,0.0,,6.8,12.6,.541,3.1,5.4,.563,4.8,5.4,10.2,2.7,2.0,2.4,1.0,8.2,16.6,,124,105
13,Kyle Singler\singlky01,29,11,0,53,6.6,17.9,.368,1.9,4.7,.400,4.7,13.2,.357,6.6,12.2,.538,0.9,7.5,8.5,0.9,0.9,0.0,2.8,3.8,21.7,,92,109
14,Nick Collison\collini01,37,9,0,52,6.7,7.7,.875,0.0,0.0,,6.7,7.7,.875,2.9,5.8,.500,2.9,9.6,12.5,2.9,0.0,0.0,3.8,4.8,16.3,,120,110
15,Daniel Hamilton\hamilda02,22,4,0,25,10.0,22.0,.455,4.0,10.0,.400,6.0,12.0,.500,0.0,0.0,,0.0,10.0,10.0,14.0,2.0,0.0,4.0,0.0,24.0,,116,106
16,PJ Dozier\doziepj01,21,2,0,3,16.6,33.3,.500,0.0,0.0,,16.6,33.3,.500,0.0,0.0,,0.0,16.6,16.6,0.0,0.0,0.0,16.6,16.6,33.3,,60,105
