Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Russell Westbrook\westbru01,29,55,55,1986,9.6,21.6,.445,1.3,4.4,.305,8.3,17.2,.482,4.9,6.9,.717,1.7,7.6,9.3,10.3,2.0,0.2,4.6,2.4,25.5
2,Paul George\georgpa01,27,54,54,1968,7.5,16.8,.445,3.2,7.5,.428,4.2,9.2,.459,4.0,4.9,.803,0.9,4.5,5.4,3.0,2.2,0.5,2.7,2.9,22.1
3,Carmelo Anthony\anthoca01,33,54,54,1738,7.1,17.3,.412,2.3,6.5,.347,4.8,10.8,.451,2.5,3.2,.776,0.8,5.9,6.7,1.6,0.7,0.7,1.4,2.9,19.0
4,Steven Adams\adamsst01,24,52,52,1677,6.6,10.5,.629,0.0,0.0,.000,6.6,10.5,.631,2.2,3.8,.577,5.8,4.3,10.1,1.1,1.4,1.1,1.7,3.2,15.4
5,Jerami Grant\grantje01,23,56,1,1157,4.9,9.7,.510,0.6,2.3,.253,4.4,7.4,.591,3.0,4.6,.662,2.0,5.0,7.1,1.3,0.7,1.6,1.3,3.5,13.5
6,Andre Roberson\roberan03,26,39,39,1037,3.0,5.6,.537,0.3,1.2,.222,2.7,4.4,.627,0.4,1.3,.316,2.6,3.8,6.4,1.6,1.6,1.2,1.0,3.1,6.7
7,Raymond Felton\feltora01,33,57,2,982,5.8,14.0,.410,1.8,5.4,.340,3.9,8.7,.453,1.0,1.3,.778,0.7,3.7,4.4,5.6,1.2,0.3,1.9,2.0,14.4
8,Patrick Patterson\pattepa01,28,57,2,871,2.6,7.4,.358,1.7,4.9,.353,0.9,2.5,.367,1.1,1.2,.929,0.8,4.3,5.1,1.5,1.4,0.6,1.0,2.5,8.1
9,Alex Abrines\abrinal01,24,51,6,812,3.7,9.3,.395,2.6,6.7,.384,1.1,2.6,.424,1.4,1.6,.865,0.9,2.9,3.8,0.8,1.2,0.2,1.0,4.1,11.3
10,Josh Huestis\huestjo01,26,51,3,745,2.2,6.5,.336,1.1,4.1,.271,1.1,2.4,.449,0.2,0.7,.267,1.6,4.3,5.9,0.7,0.7,1.7,1.1,3.3,5.7
11,Terrance Ferguson\fergute01,19,42,12,526,3.0,8.1,.373,1.5,5.6,.268,1.5,2.5,.611,0.3,0.4,.833,1.1,1.3,2.4,0.8,1.2,0.3,0.6,4.4,7.9
12,Dakari Johnson\johnsda04,22,25,5,147,4.9,9.1,.541,0.0,0.0,,4.9,9.1,.541,2.2,3.9,.563,3.4,3.9,7.3,2.0,1.5,1.7,0.7,5.9,12.0
13,Kyle Singler\singlky01,29,11,0,53,4.8,12.9,.368,1.4,3.4,.400,3.4,9.5,.357,4.8,8.8,.538,0.7,5.4,6.1,0.7,0.7,0.0,2.0,2.7,15.6
14,Nick Collison\collini01,37,9,0,52,4.8,5.5,.875,0.0,0.0,,4.8,5.5,.875,2.1,4.2,.500,2.1,6.9,9.0,2.1,0.0,0.0,2.8,3.5,11.8
15,Daniel Hamilton\hamilda02,22,4,0,25,7.2,15.8,.455,2.9,7.2,.400,4.3,8.6,.500,0.0,0.0,,0.0,7.2,7.2,10.1,1.4,0.0,2.9,0.0,17.3
16,PJ Dozier\doziepj01,21,2,0,3,12.0,24.0,.500,0.0,0.0,,12.0,24.0,.500,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,24.0
