Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Paul George\georgpa01,27,54,54,36.4,7.6,17.0,.445,3.3,7.6,.428,4.3,9.4,.459,.541,4.0,5.0,.803,0.9,4.5,5.4,3.1,2.2,0.5,2.7,2.9,22.4
2,Russell Westbrook\westbru01,29,55,55,36.1,9.6,21.6,.445,1.3,4.4,.305,8.3,17.2,.482,.476,4.9,6.9,.717,1.7,7.6,9.3,10.3,2.0,0.2,4.6,2.4,25.5
3,Steven Adams\adamsst01,24,52,52,32.3,5.9,9.4,.629,0.0,0.0,.000,5.9,9.4,.631,.629,1.9,3.4,.577,5.2,3.9,9.0,0.9,1.2,1.0,1.5,2.9,13.8
4,Carmelo Anthony\anthoca01,33,54,54,32.2,6.4,15.4,.412,2.0,5.8,.347,4.3,9.6,.451,.477,2.2,2.9,.776,0.7,5.3,6.0,1.4,0.6,0.6,1.3,2.6,17.0
5,Andre Roberson\roberan03,26,39,39,26.6,2.2,4.2,.537,0.2,0.9,.222,2.0,3.2,.627,.562,0.3,1.0,.316,1.9,2.8,4.7,1.2,1.2,0.9,0.8,2.3,5.0
6,Jerami Grant\grantje01,23,56,1,20.7,2.8,5.6,.510,0.3,1.3,.253,2.5,4.2,.591,.540,1.8,2.6,.662,1.2,2.9,4.1,0.8,0.4,0.9,0.8,2.0,7.8
7,Raymond Felton\feltora01,33,57,2,17.2,2.8,6.7,.410,0.9,2.6,.340,1.9,4.1,.453,.475,0.5,0.6,.778,0.3,1.8,2.1,2.7,0.6,0.2,0.9,1.0,6.9
8,Alex Abrines\abrinal01,24,51,6,15.9,1.6,4.1,.395,1.1,3.0,.384,0.5,1.2,.424,.533,0.6,0.7,.865,0.4,1.3,1.7,0.4,0.5,0.1,0.4,1.8,5.0
9,Patrick Patterson\pattepa01,28,57,2,15.3,1.1,3.1,.358,0.7,2.1,.353,0.4,1.1,.367,.475,0.5,0.5,.929,0.4,1.8,2.2,0.6,0.6,0.3,0.4,1.1,3.4
10,Josh Huestis\huestjo01,26,51,3,14.6,0.9,2.6,.336,0.5,1.7,.271,0.4,1.0,.449,.422,0.1,0.3,.267,0.6,1.8,2.4,0.3,0.3,0.7,0.4,1.3,2.3
11,Terrance Ferguson\fergute01,19,42,12,12.5,1.0,2.8,.373,0.5,2.0,.268,0.5,0.9,.611,.466,0.1,0.1,.833,0.4,0.5,0.8,0.3,0.4,0.1,0.2,1.5,2.7
12,Daniel Hamilton\hamilda02,22,4,0,6.3,1.3,2.8,.455,0.5,1.3,.400,0.8,1.5,.500,.545,0.0,0.0,,0.0,1.3,1.3,1.8,0.3,0.0,0.5,0.0,3.0
13,Dakari Johnson\johnsda04,22,25,5,5.9,0.8,1.5,.541,0.0,0.0,,0.8,1.5,.541,.541,0.4,0.6,.563,0.6,0.6,1.2,0.3,0.2,0.3,0.1,1.0,2.0
14,Nick Collison\collini01,37,9,0,5.8,0.8,0.9,.875,0.0,0.0,,0.8,0.9,.875,.875,0.3,0.7,.500,0.3,1.1,1.4,0.3,0.0,0.0,0.4,0.6,1.9
15,Kyle Singler\singlky01,29,11,0,4.8,0.6,1.7,.368,0.2,0.5,.400,0.5,1.3,.357,.421,0.6,1.2,.538,0.1,0.7,0.8,0.1,0.1,0.0,0.3,0.4,2.1
16,PJ Dozier\doziepj01,21,2,0,1.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0
