
,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Committed,Fouls Committed,Misc.,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
1,Russell Westbrook\westbru01,29,55,1986,86%,14%,,,,6.4,11.3,162,66,27,35,3,11,11,1330,175,52,64
2,Paul George\georgpa01,27,54,1968,,18%,82%,,,3.3,-0.5,82,35,31,53,5,22,2,385,107,25,39
3,Carmelo Anthony\anthoca01,33,54,1738,,,,90%,10%,5.3,5.1,21,14,35,63,1,15,3,194,64,10,40
4,Steven Adams\adamsst01,24,52,1677,,,,,100%,5.8,6.0,16,21,45,51,3,27,8,117,70,22,32
5,Jerami Grant\grantje01,23,56,1157,,,17%,81%,2%,0.1,-5.8,10,17,16,59,6,8,5,118,73,15,34
6,Andre Roberson\roberan03,26,39,1037,,83%,17%,,,10.6,11.6,10,7,13,35,3,9,2,107,11,2,10
7,Raymond Felton\feltora01,33,57,982,100%,,,,,-2.3,-8.7,26,18,7,23,3,2,3,367,13,1,17
8,Patrick Patterson\pattepa01,28,57,871,,,,21%,79%,-3.0,-9.3,9,6,11,27,0,9,0,98,12,0,3
9,Alex Abrines\abrinal01,24,51,812,7%,91%,2%,,,-0.6,-5.7,12,6,4,51,4,1,1,43,13,3,7
10,Josh Huestis\huestjo01,26,51,745,,3%,89%,8%,,6.1,3.6,13,5,4,43,1,1,2,37,4,1,6
11,Terrance Ferguson\fergute01,19,42,526,1%,92%,7%,,,-6.7,-12.5,4,2,0,30,3,0,0,27,2,0,4
12,Dakari Johnson\johnsda04,22,25,147,,,,,100%,9.8,6.7,1,0,2,11,0,2,0,21,4,0,4
13,Kyle Singler\singlky01,29,11,53,,11%,69%,20%,,1.9,-1.5,0,2,0,0,1,0,0,3,6,1,2
14,Nick Collison\collini01,37,9,52,,,,24%,76%,14.4,11.2,2,0,1,3,0,1,0,7,2,0,0
15,Daniel Hamilton\hamilda02,22,4,25,13%,36%,51%,,,-10.2,-13.7,2,0,0,0,0,0,0,14,0,0,1
16,PJ Dozier\doziepj01,21,2,3,100%,,,,,-36.7,-40.1,0,0,0,1,0,0,0,0,0,0,0
