Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Russell Westbrook\westbru01,29,55,55,1986,530,1190,.445,74,243,.305,456,947,.482,.476,271,378,.717,94,420,514,566,108,10,255,130,1405
2,Paul George\georgpa01,27,54,54,1968,408,916,.445,176,411,.428,232,505,.459,.541,216,269,.803,48,245,293,165,121,29,148,158,1208
3,Carmelo Anthony\anthoca01,33,54,54,1738,343,833,.412,109,314,.347,234,519,.451,.477,121,156,.776,39,284,323,76,34,35,69,142,916
4,Steven Adams\adamsst01,24,52,52,1677,308,490,.629,0,2,.000,308,488,.631,.629,101,175,.577,268,202,470,49,64,50,80,151,717
5,Jerami Grant\grantje01,23,56,1,1157,159,312,.510,19,75,.253,140,237,.591,.540,98,148,.662,65,162,227,43,22,50,42,113,435
6,Andre Roberson\roberan03,26,39,39,1037,87,162,.537,8,36,.222,79,126,.627,.562,12,38,.316,75,110,185,46,45,35,30,89,194
7,Raymond Felton\feltora01,33,57,2,982,157,383,.410,50,147,.340,107,236,.453,.475,28,36,.778,19,100,119,153,33,9,52,55,392
8,Patrick Patterson\pattepa01,28,57,2,871,64,179,.358,42,119,.353,22,60,.367,.475,26,28,.929,20,104,124,37,35,15,25,60,196
9,Alex Abrines\abrinal01,24,51,6,812,83,210,.395,58,151,.384,25,59,.424,.533,32,37,.865,20,65,85,19,28,5,22,92,256
10,Josh Huestis\huestjo01,26,51,3,745,45,134,.336,23,85,.271,22,49,.449,.422,4,15,.267,33,90,123,14,14,35,22,68,117
11,Terrance Ferguson\fergute01,19,42,12,526,44,118,.373,22,82,.268,22,36,.611,.466,5,6,.833,16,19,35,11,17,5,9,64,115
12,Dakari Johnson\johnsda04,22,25,5,147,20,37,.541,0,0,,20,37,.541,.541,9,16,.563,14,16,30,8,6,7,3,24,49
13,Kyle Singler\singlky01,29,11,0,53,7,19,.368,2,5,.400,5,14,.357,.421,7,13,.538,1,8,9,1,1,0,3,4,23
14,Nick Collison\collini01,37,9,0,52,7,8,.875,0,0,,7,8,.875,.875,3,6,.500,3,10,13,3,0,0,4,5,17
15,Daniel Hamilton\hamilda02,22,4,0,25,5,11,.455,2,5,.400,3,6,.500,.545,0,0,,0,5,5,7,1,0,2,0,12
16,PJ Dozier\doziepj01,21,2,0,3,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,0,1,1,2
,Team Totals,,57,,13780,2268,5004,.453,585,1675,.349,1683,3329,.506,.512,933,1321,.706,715,1841,2556,1198,529,285,803,1156,6056
