,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Russell Westbrook\westbru01,29,55,1986,.445,11.6,.796,.367,.070,.144,.215,.204,.482,.609,.241,.398,.398,.305,.173,.043,42,.378,.058,.357,1,0
2,Paul George\georgpa01,27,54,1968,.445,16.3,.551,.180,.085,.130,.155,.449,.459,.703,.321,.361,.338,.428,.384,.027,23,.813,.212,.437,3,0
3,Carmelo Anthony\anthoca01,33,54,1738,.412,17.0,.623,.116,.061,.191,.255,.377,.451,.608,.294,.497,.382,.347,.393,.019,12,.881,.105,.394,0,0
4,Steven Adams\adamsst01,24,52,1677,.629,2.5,.996,.729,.212,.047,.006,.004,.631,.683,.490,.522,.000,.000,.685,.243,101,,.000,,2,0
5,Jerami Grant\grantje01,23,56,1157,.510,8.2,.760,.558,.125,.032,.042,.240,.591,.672,.282,.500,.462,.253,.757,.192,51,.895,.427,.188,1,0
6,Andre Roberson\roberan03,26,39,1037,.537,6.1,.778,.716,.056,.000,.006,.222,.627,.681,.000,,.000,.222,.759,.136,20,1.000,.583,.190,0,0
7,Raymond Felton\feltora01,33,57,982,.410,16.2,.616,.167,.117,.099,.227,.384,.453,.516,.444,.421,.425,.340,.065,.000,0,.680,.197,.379,6,0
8,Patrick Patterson\pattepa01,28,57,871,.358,17.9,.335,.101,.134,.067,.028,.665,.367,.611,.250,.250,.400,.353,.591,.000,0,1.000,.429,.392,0,0
9,Alex Abrines\abrinal01,24,51,812,.395,19.2,.281,.143,.057,.019,.048,.719,.424,.567,.250,.500,.100,.384,.520,.038,7,1.000,.245,.432,1,0
10,Josh Huestis\huestjo01,26,51,745,.336,16.0,.366,.276,.037,.030,.022,.634,.449,.541,.200,.000,.333,.271,.500,.134,14,1.000,.353,.233,0,0
11,Terrance Ferguson\fergute01,19,42,526,.373,19.3,.305,.161,.034,.025,.085,.695,.611,.737,.000,.333,.700,.268,.727,.076,7,1.000,.415,.353,0,0
12,Dakari Johnson\johnsda04,22,25,147,.541,4.0,1.000,.514,.324,.135,.027,.000,.541,.579,.417,.600,1.000,,.700,.135,5,,,,0,0
13,Kyle Singler\singlky01,29,11,53,.368,11.8,.737,.316,.211,.105,.105,.263,.357,.500,.250,.500,.000,.400,1.000,.053,0,1.000,.000,,0,0
14,Nick Collison\collini01,37,9,52,.875,4.4,1.000,.625,.250,.000,.125,.000,.875,1.000,1.000,,.000,,.857,.250,2,,,,0,0
15,Daniel Hamilton\hamilda02,22,4,25,.455,14.5,.545,.273,.091,.091,.091,.455,.500,.667,.000,1.000,.000,.400,.333,.000,0,.500,.600,.333,0,0
16,PJ Dozier\doziepj01,21,2,3,.500,11.5,1.000,.500,.000,.000,.500,.000,.500,1.000,,,.000,,.000,.000,0,,,,0,0
